acousticness,artists,danceability,energy,explicit,instrumentalness,key,liveness,loudness,name,popularity,release_date,speechiness,tempo,valence,days_from_release,duration_sec
0.447,"['Yandel', 'Bad Bunny']",0.75,0.741,1,0.0,9,0.121,-4.43,CANCIÓN CON YANDEL,84,2020-05-10,0.402,79.968,0.495,155,209.18
0.20600000000000002,"['Rauw Alejandro', 'Anuel AA', 'Natti Natasha', 'Farruko', 'Lunay']",0.816,0.72,0,0.0,1,0.27699999999999997,-4.454,Fantasias - Remix,84,2020-03-06,0.0684,94.00399999999999,0.78,220,267.242
0.884,['Alexander 23'],0.629,0.306,0,0.0776,1,0.124,-11.735,IDK You Yet,84,2020-04-09,0.0424,76.994,0.191,186,184.638
0.316,"['Chris Brown', 'Young Thug']",0.755,0.578,1,0.0,0,0.25,-8.932,Go Crazy,84,2020-05-08,0.145,94.148,0.581,157,176.96
0.163,"['Drake', 'Playboi Carti']",0.825,0.373,1,0.0,5,0.368,-5.532,Pain 1993 (with Playboi Carti),84,2020-05-01,0.10800000000000001,77.271,0.12,164,149.078
0.0811,['The Weeknd'],0.664,0.5720000000000001,0,0.00604,5,0.121,-6.099,After Hours,84,2020-03-20,0.0305,108.959,0.14300000000000002,206,361.027
0.122,"['Future', 'Travis Scott']",0.691,0.632,1,0.0,1,0.0646,-7.598,Solitaires (feat. Travis Scott),84,2020-05-15,0.0513,169.982,0.488,150,205.666
0.41600000000000004,"['Nicky Jam', 'Daddy Yankee']",0.595,0.807,0,1.4099999999999999e-05,7,0.565,-2.4090000000000003,Muévelo,84,2020-01-08,0.0489,188.081,0.919,278,194.892
0.17600000000000002,"['Lauv', 'Troye Sivan']",0.599,0.733,0,0.0,11,0.242,-7.058,i'm so tired...,83,2020-03-06,0.203,102.211,0.534,220,162.583
0.12,"['Lunay', 'Myke Towers', 'Ozuna', 'Chencho Corleone', 'Rauw Alejandro']",0.737,0.8320000000000001,0,0.0,2,0.255,-2.622,La Cama - Remix,83,2020-03-27,0.0798,173.986,0.865,199,330.24
0.00473,"['Reik', 'Farruko', 'Camilo']",0.578,0.634,0,0.0,8,0.132,-5.979,Si Me Dices Que Sí,83,2020-02-18,0.33299999999999996,183.89,0.21600000000000005,237,211.652
0.00162,['Conan Gray'],0.628,0.639,0,0.0,8,0.354,-5.46,Maniac,83,2020-03-20,0.0435,108.045,0.493,206,185.773
0.0559,"['Shakira', 'Anuel AA']",0.775,0.696,0,0.0018399999999999998,1,0.157,-5.184,Me Gusta,83,2020-01-13,0.0681,92.007,0.775,273,190.57
0.17,"['Lil Yachty', 'DaBaby', 'Drake']",0.836,0.617,1,0.0,0,0.319,-4.363,Oprah’s Bank Account (Lil Yachty & DaBaby feat. Drake),83,2020-03-09,0.0534,138.066,0.866,217,206.702
0.00509,"['G-Eazy', 'Tory Lanez', 'Tyga']",0.8029999999999999,0.759,1,0.0,7,0.0921,-4.692,Still Be Friends (feat. Tory Lanez & Tyga),83,2020-02-07,0.0494,104.0,0.284,248,213.308
0.267,"['Bad Bunny', 'Sech']",0.85,0.536,1,3.8900000000000004e-05,1,0.0996,-5.1610000000000005,Ignorantes,83,2020-02-14,0.0599,96.029,0.505,241,210.607
0.4,['Anuel AA'],0.708,0.797,0,0.0,0,0.096,-3.095,Keii,83,2020-02-07,0.0391,88.015,0.51,248,210.0
0.0294,['Lady Gaga'],0.789,0.813,0,2.07e-06,5,0.519,-4.563,911,83,2020-05-29,0.0374,116.007,0.42,136,172.133
0.868,['Noah Cyrus'],0.708,0.18600000000000005,0,0.0,9,0.0779,-8.953,July,83,2020-05-15,0.042,72.541,0.322,150,156.106
0.48200000000000004,"['Lauv', 'Anne-Marie']",0.8059999999999999,0.5579999999999999,1,0.0,9,0.0618,-6.46,"fuck, i'm lonely (with Anne-Marie)",82,2020-03-06,0.0683,95.016,0.6779999999999999,220,198.973
0.0033399999999999997,['Lady Gaga'],0.723,0.88,0,0.0179,11,0.0632,-4.287,Alice,82,2020-05-29,0.038,123.036,0.32299999999999995,136,177.6
0.0286,['Lil Baby'],0.585,0.6409999999999999,1,0.0,6,0.316,-4.269,Emotionally Scarred,82,2020-02-28,0.133,88.28399999999998,0.266,227,197.53
0.187,['DaBaby'],0.836,0.624,1,0.0,4,0.138,-6.75,FIND MY WAY,82,2020-04-17,0.184,103.0,0.7,178,139.89
0.13,['$uicideBoy$'],0.792,0.512,1,8.82e-05,2,0.14,-6.875,"...And To Those I Love, Thanks For Sticking Around",82,2020-02-14,0.0408,113.978,0.11,241,168.49
0.207,"['Casper Magico', 'Anuel AA']",0.7120000000000001,0.851,1,4e-06,0,0.0334,-3.359,Sola & Vacía,82,2020-04-16,0.149,95.973,0.542,179,182.676
